season,workingday,temp,humidity,windspeed,count
fall,1,10.55398786515859,40.93645469887248,33.6351497104449,45
winter,0,21.257028421350743,39.75830392575999,39.834069859568615,51
spring,0,31.18837507629225,92.50036644168293,12.523394939624948,40
fall,0,26.966746592286835,39.96369598796049,31.243704980349946,144
fall,0,29.196834435843492,41.75597809029048,28.587299157187434,142
winter,0,24.763501001321522,80.7518609934371,41.64151883941356,0
spring,1,25.768296935535574,55.9791873960432,45.304353024063026,82
spring,0,30.47586954695958,82.1368445564145,0.6078385738693404,53
fall,1,12.490040265775578,25.229292605150818,33.700995952939635,68
summer,1,19.682748909294215,59.005695493870746,2.5917899559864512,129
fall,0,11.636283254588067,22.68908801466261,27.442933253867796,34
fall,0,34.630040239899415,25.01225627642836,14.38163645218391,269
fall,1,33.321780190598396,92.51499626755287,15.33882997610706,89
fall,0,6.182804341055177,31.139629689407613,17.64792517261783,0
winter,0,26.167255175470654,62.593654582017365,31.064622452480506,4
spring,1,32.757449522469976,52.887648208056525,16.70249828343846,253
winter,1,10.417260353820005,47.78746610070741,36.63495252951402,0
winter,0,22.038356916578884,91.9866676549818,20.226369278693486,0
winter,1,32.46464892764126,21.74587174203916,3.4176600154979306,277
fall,0,6.0183793575739655,73.10317489404713,39.187992124205365,0
summer,0,25.922608017405196,97.07155473708403,14.2879162296353,30
spring,0,13.920470221176522,64.81345467694736,21.638343979963132,0
summer,1,32.73188586129591,94.94579696264735,34.27219416109508,125
winter,1,34.131747354961036,24.1806303428819,16.6228078574356,316
winter,1,33.32799467340302,53.50346552593291,2.8292828073357814,200
summer,1,19.226426499723914,40.81262327696409,18.69605235064068,143
summer,1,30.861279529679404,78.46567719845838,47.22242913471517,92
summer,0,30.33648195605211,98.50376723977973,32.08671986492791,52
winter,0,14.573014197297669,40.52240499553982,33.57395743336035,0
winter,0,29.86746422452032,72.33396811792596,31.614107681881993,66
spring,0,6.110229041464779,35.847810620779214,9.949606947971839,0
spring,1,22.88809635446159,65.22642036572879,20.916693205114008,137
winter,0,11.900265118631092,57.114598935066894,37.54698991816591,0
summer,1,8.617006573318363,97.76042637052296,5.068644877657958,0
summer,0,7.308596048876275,68.68218181571733,13.892638804485614,0
spring,1,25.888663276344193,47.960509766945506,13.815955423292682,168
winter,1,15.196248913041984,29.12766279103467,21.6009463797253,53
spring,0,26.743003145862843,32.09974629879476,49.01843704710925,90
spring,0,6.960690223968271,38.025354396098805,3.375127334191097,8
fall,0,14.45871013491831,40.07733290722384,25.935049719029752,0
fall,0,21.184738771260115,88.04928462729103,8.968234100610523,0
fall,1,28.721694945168906,64.89782306260199,48.53382727048721,110
summer,0,14.562575087962097,61.87127290994931,5.66517523637321,16
winter,0,23.776741293110273,29.181509749537398,20.180050118079564,140
winter,1,31.579332447085616,88.8111754679548,36.89424924173031,59
winter,0,23.475895645469137,77.8251442566787,35.227721401372264,0
winter,0,11.988784242609013,25.413468952000127,21.136431844696613,0
fall,0,5.73202344669614,76.62680777838149,17.326208397635913,0
summer,0,31.102966217027898,63.483057387411684,19.88061892764353,131
summer,0,5.638082325511614,26.538027659742262,13.213813157931964,37
fall,1,31.24105018052598,56.664051322292515,10.26664693533999,229
summer,0,20.86811402081636,58.775702970403756,24.1519848779445,67
fall,0,33.17203095538689,33.26196321306206,13.426687803380366,271
winter,0,28.96349707320996,95.65585176002259,14.373083244862507,0
fall,0,34.93802331600013,87.99802971845295,32.837803173727856,107
winter,0,15.521354463551305,73.52178698632866,48.42686658499461,0
winter,1,28.015648667933807,56.98364488004857,30.181860027968753,142
spring,0,17.057927408277266,52.941243326760684,3.848973353248314,90
fall,1,19.396268609117264,72.07787737207633,3.779180692703349,10
spring,1,23.825163896551103,63.634549552552436,47.5711610422783,52
fall,0,31.21031342559016,24.98184847055085,14.864539515366681,226
fall,0,34.52250407597886,61.000211901626535,4.603349304123771,203
spring,0,28.048202415935545,84.51228937862716,29.952229357519077,0
spring,0,17.533003465020013,56.73919020775664,31.182438914513305,17
fall,1,17.640710068312103,24.156526204341475,32.42524100593441,169
summer,0,27.127469047666743,82.90225595072265,13.370101392877064,79
winter,0,12.16331437304907,36.10910257087795,0.7555342107237517,29
spring,0,8.31422339394184,40.6896667910431,48.25076847272359,0
winter,0,15.638664729223295,33.17650827458367,12.544652284555124,26
summer,0,13.617169749622452,46.4172051897198,33.801314402627376,37
summer,0,13.889243613679703,80.5401204550908,35.331493493935476,0
summer,1,12.008232531497299,61.550868760314984,30.500370853974285,0
spring,1,6.262795689090856,36.390501932057006,15.645369710682411,9
summer,0,5.536218042002414,90.22640625216327,13.554812688203288,0
spring,0,34.63167169208094,90.36654839612234,29.883414135135155,43
summer,0,17.83319401207587,89.64627400368056,43.304781680584576,0
winter,1,16.52979941479045,39.10369691052314,47.33668644616978,4
winter,0,25.389418480792095,56.099147534479044,5.295290220187882,92
fall,1,11.547616635951925,98.79917249127001,7.7414306298859925,0
winter,0,33.49883551850676,81.76099810479923,47.236812939153985,0
fall,0,28.59035043246656,22.173393698044784,36.82676141673963,198
winter,0,7.682330069367786,25.216367300839366,44.149691241488654,0
spring,0,17.52742327354785,57.114510144986625,10.131631706767157,29
winter,1,31.37354922686494,92.73761646892481,29.379293555470092,123
fall,1,33.34196066874231,63.09614383621714,35.056979720873684,129
fall,0,19.022045337496092,59.82500064274322,34.00559427234863,16
summer,0,23.40234167632123,28.437895996530447,20.407584543334906,173
spring,1,10.011018382762256,72.54240837794353,0.7697445845654238,0
winter,1,34.7350587841093,85.76825284801804,29.146302840213156,117
summer,1,11.950151041503302,50.43360060060499,12.655076958980437,40
winter,1,33.281953224053765,82.0489480740262,22.51271230714452,118
winter,0,24.489399469771055,97.15813231206494,47.879050754190864,0
summer,1,23.232103846365774,36.30131673021513,19.951765882121737,218
summer,0,20.38065533049526,61.866370495579304,41.990080333221336,22
summer,1,11.92009435153276,42.971036646766045,9.427030287462557,102
summer,1,10.295840960165247,83.42835352270714,33.62302490125144,0
summer,1,11.61458627210526,66.2074692704926,48.85034772194717,0
winter,1,10.593147864327635,70.76659340402429,5.094655043646839,0
summer,1,28.3875342070026,83.83313276927153,0.4159971113596006,119
spring,0,15.503757775001903,51.677637812996394,21.67913963163072,0
fall,0,6.735280296901891,93.20720547256346,4.63127415256836,0
summer,1,34.07307890422434,62.6423093796912,37.419217483811565,242
summer,1,31.51357654890277,32.63638582682784,45.727433192427945,252
winter,0,32.83256849585639,75.67192945350419,21.701048635437942,79
summer,1,34.847234679393054,83.46090803506036,12.935582107772047,166
summer,1,10.216857476584618,45.34093416540213,21.72016595033049,72
summer,0,16.887260567079764,88.57434055990024,36.17239089250005,0
winter,1,27.74715427112274,92.4914603812613,0.4527080790185489,107
summer,1,25.880618541613767,42.15235899022471,29.472699474234858,176
fall,0,9.616877190195652,98.68171781721776,30.664584244368953,0
winter,0,29.474993749718532,31.256922243900675,31.884412344796775,168
fall,0,11.733217155099819,36.1612534721992,12.101103999043861,36
winter,1,11.714528444678692,34.73798713904209,35.70263616890634,13
summer,0,21.109232686802407,91.51917680062964,4.56957431658882,0
fall,0,22.788198045251093,72.34340418599695,9.96351682334004,47
winter,0,22.402586235134336,32.16834265778183,43.873502332724094,89
spring,0,7.744605121932646,55.22587346946792,36.93615753632832,0
summer,0,31.32382587891141,69.22384200558416,0.6872777005672626,198
winter,0,12.968001277661182,26.677126799150663,12.41881301849001,70
spring,1,8.885447638484125,90.5933094725871,10.720324149658229,0
winter,1,31.662442396069316,84.28828283532282,13.540316401848628,105
spring,0,33.6695449468926,60.41654188613106,12.377988513994321,190
summer,0,30.86382851796352,97.37012922073363,3.126314787142287,50
fall,0,29.285482241746344,53.420878342007974,22.947025829841017,128
spring,1,24.65725941917065,98.72882552291982,36.63667373930826,0
winter,1,21.52572111827418,73.43359990429016,30.33658623587182,31
summer,1,7.609602797342304,70.77370186031531,33.64358342990399,0
spring,1,17.25359639212096,33.2763916236628,4.057458926811957,194
winter,1,16.18065551036942,90.55422066437151,47.57453550883936,0
winter,1,12.792613512809787,54.19917503364921,41.92459169215124,0
winter,1,26.70260341065755,32.97867246259835,40.254515924783135,152
spring,1,19.876272052363124,21.00860159806072,41.149190252088374,156
spring,1,7.431386477229438,64.7804546910706,46.63552540663807,0
spring,0,11.60549605849434,62.19196976981411,27.212698305684885,0
fall,0,25.497762909787877,77.54828978953269,10.014100893381295,69
spring,0,7.283925784709005,91.22064424142417,30.839180392627057,0
spring,0,30.53620742146306,26.352526771442363,37.14407468339695,180
spring,1,19.85439581041923,78.51971922722899,36.89586966770127,0
fall,1,19.41759731979944,34.99295552780658,26.072451208344006,171
spring,0,22.772233539785528,88.65416425257311,3.422935966678903,0
winter,1,29.740428977754476,85.52508110893248,18.55564692150639,44
spring,0,15.434276237065792,63.26350039884355,46.038330423167864,0
winter,1,25.340484576771907,76.81942388986492,29.2224454878713,47
winter,0,21.97195891987373,45.14800905469987,26.91659716278567,30
winter,1,13.01084810508264,57.69343191462517,13.442675719109676,2
fall,1,31.35889959065474,85.73095181683773,18.422445995828944,83
fall,0,28.922780648207844,56.741215773857114,44.76730445765846,109
fall,1,24.753555039752765,48.623861226035345,33.32315237634179,158
spring,0,30.51745187282726,59.53699578002399,39.36935133761664,120
winter,0,31.01882602879407,86.25994019497747,22.717271153382757,36
fall,0,26.250889301451043,46.81664378966982,31.512360972807897,148
fall,0,30.110399850910163,33.900927450859506,12.419180437160376,210
spring,1,25.924143850078508,76.96112162646246,35.27304151417432,35
fall,1,25.404223152809013,86.07825701664655,21.380066685166867,54
spring,1,23.558341346455528,28.050998281882666,22.12727574073728,260
summer,0,27.581499186729236,39.189929020475574,32.466116228844086,144
fall,1,9.758153158792211,31.357759180879512,46.81403107344633,4
summer,0,31.426122775967855,47.83531292657333,3.200317330431046,236
spring,1,31.15530583235696,56.02807831243301,41.23716186735038,170
winter,1,5.877418491036774,79.90610695706451,14.619155520609656,0
fall,1,29.77450251694288,72.09180679053392,22.195972725318892,156
spring,0,8.866096024203356,69.67428539827449,1.0956664387504478,0
winter,1,15.053565627774256,48.18999572877235,15.05230389171565,48
winter,1,27.30524768874823,87.3158042467808,25.131562131506524,10
summer,0,9.822796881449246,57.70297339185316,2.8088038673719504,0
spring,1,29.539010723571867,98.32839504121236,24.55478646915826,60
winter,0,29.964025338732256,70.73137106365894,46.35553144292137,55
fall,1,20.224032012825084,30.101179325160217,5.2696609053902606,195
fall,0,5.191576151505007,74.09420496603472,38.22203640377522,0
